table,producing_script,source,cadence,validation_target
panel_evento_hijo_empleo_profile_madre,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_evento_hijo_empleo_profile_padre,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_file_keys,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_indicators,pending (W2b: build_panel_dataset.py),ENAHO Panel releases 2011-2023,annual,pobreza anual por ola vs INEI (panel_validate)
panel_informalidad_dinamica_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2014-2018,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2015-2019,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2016-2020,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2017-2021,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2018-2022,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_dinamica_2019-2023,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2007-2011,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2011-2015,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2012-2016,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
panel_informalidad_transicion_2013-2017,pipeline/build_panel_familias.py,ENAHO Panel releases 2011-2023,annual,reproducido valor por valor vs committeado (60/60)
