prov,DEPARTAMEN,PROVINCIA,income_2021,income_2025,chg_pct,nhh_min
0904,HUANCAVELICA,CASTROVIRREYNA,859.8108180816002,883.1446416062169,2.7138322796029346,60.0
1102,ICA,CHINCHA,1396.328731689532,1441.3575218586177,3.2247986557292663,321.0
1101,ICA,ICA,1449.5232795397742,1501.7278251251555,3.6014975628371197,775.0
2201,SAN MARTIN,MOYOBAMBA,1126.479451253928,1171.7085293180523,4.0150823890998,228.0
2501,UCAYALI,CORONEL PORTILLO,946.0699398507774,985.8899806997158,4.208995463402965,758.0
1105,ICA,PISCO,1348.0367049039178,1405.1559916133135,4.237220433361055,224.0
0302,APURIMAC,ANDAHUAYLAS,1001.3897481271736,1045.5049493510444,4.405397729143545,306.0
2003,PIURA,HUANCABAMBA,757.0429760808594,792.603616421265,4.697308008126533,121.0
2107,PUNO,LAMPA,688.2146954500049,720.9926100517374,4.7627455238077765,40.0
0701,CALLAO,CALLAO,1150.026655701663,1207.415818896655,4.990246348679395,982.0
1010,HUANUCO,LAURICOCHA,846.4517021805917,891.1641495480058,5.282338880319792,36.0
1503,LIMA,CAJATAMBO,792.9697315062477,835.6879152265244,5.387114037648488,29.0
2202,SAN MARTIN,BELLAVISTA,991.1740508920956,1046.4748669784165,5.579324442215583,89.0
0305,APURIMAC,COTABAMBAS,963.37271476943,1022.1812839128258,6.104446206728098,95.0
0211,ANCASH,HUARMEY,1156.9975755663136,1227.9278341018437,6.1305451310744274,40.0
1902,PASCO,DANIEL ALCIDES CARRION,757.3334852976624,805.011896894448,6.295563648297708,141.0
1501,LIMA,LIMA,1367.0435842065076,1453.9114099710496,6.354429863694788,3041.0
0202,ANCASH,AIJA,970.253075364324,1032.257795548953,6.390571878511864,24.0
2108,PUNO,MELGAR,955.6348091961756,1019.1923016006692,6.650813866643723,52.0
1801,MOQUEGUA,MARISCAL NIETO,1945.8016239467315,2081.064366730044,6.951517622282322,459.0
0101,AMAZONAS,CHACHAPOYAS,1528.6501304145404,1638.7869398543428,7.20484087552038,223.0
2105,PUNO,EL COLLAO,773.9379311392568,833.7082492323302,7.722882635444672,82.0
1205,JUNIN,JUNIN,977.095623293682,1054.527030973219,7.92464993533839,38.0
0207,ANCASH,CARLOS FERMIN FITZCARRALD,915.3398330325048,989.128160883173,8.061304139491954,35.0
1301,LA LIBERTAD,TRUJILLO,1409.3955757002457,1525.0058180475337,8.202824270244214,763.0
1903,PASCO,OXAPAMPA,842.2138791238941,912.0666982680012,8.293952507262304,266.0
1802,MOQUEGUA,GENERAL SANCHEZ CERRO,1131.7731439646557,1225.6698435968578,8.296424078705167,157.0
2503,UCAYALI,PADRE ABAD,792.6896875550188,860.4864800312477,8.55275318206068,203.0
2208,SAN MARTIN,RIOJA,984.9276131213888,1074.0605928292684,9.049698528138885,165.0
0107,AMAZONAS,UTCUBAMBA,1052.9986633732613,1148.6929731850605,9.08779024516939,298.0
2302,TACNA,CANDARAVE,1033.0920439589056,1134.1015578521556,9.77739732717058,28.0
1601,LORETO,MAYNAS,952.3416027671988,1047.1270820912189,9.952886553375762,728.0
1003,HUANUCO,DOS DE MAYO,982.3672087250164,1085.3932603028516,10.48752957781942,42.0
0505,AYACUCHO,LA MAR,757.6996135008712,838.9623831804472,10.724932180460002,135.0
2402,TUMBES,CONTRALMIRANTE VILLAR,990.1767689622616,1098.7322816172432,10.963245761537245,99.0
0801,CUSCO,CUSCO,1399.757790931277,1559.0955103155152,11.383235043702,307.0
0907,HUANCAVELICA,TAYACAJA,677.305360639817,754.5834225068401,11.409633875335402,238.0
2005,PIURA,PAITA,1116.5007434342003,1248.2069824081448,11.796341359239438,100.0
1007,HUANUCO,MARAÑON,796.1358612941748,891.8266324255544,12.019402187941576,46.0
1508,LIMA,HUAURA,1157.371723518152,1303.0959737394485,12.590963409605948,332.0
2301,TACNA,TACNA,1171.3850533904888,1320.931104345176,12.766600574408638,1077.0
2004,PIURA,MORROPON,940.85466483761,1063.4967487117133,13.035178381697364,136.0
0208,ANCASH,CASMA,857.0142986838179,969.0633439576264,13.07434956988358,78.0
0802,CUSCO,ACOMAYO,797.1951966470588,902.4272983661988,13.200292997466368,26.0
1402,LAMBAYEQUE,FERREÑAFE,839.5138380833721,952.1052902692384,13.411506407436358,103.0
0216,ANCASH,POMABAMBA,778.3231925289513,883.9779389515686,13.574662484272215,30.0
0304,APURIMAC,AYMARAES,1002.893691669739,1140.66389715093,13.73726912688169,84.0
2102,PUNO,AZANGARO,708.8400162290426,807.1614328431845,13.870748598139526,96.0
0106,AMAZONAS,RODRIGUEZ DE MENDOZA,1053.8899620006223,1201.742767010995,14.029245020011436,117.0
1505,LIMA,CAÑETE,1132.880734666454,1293.5728547109595,14.18438103211428,394.0
0301,APURIMAC,ABANCAY,1108.3021521051205,1267.3947149789858,14.354620043972965,216.0
0807,CUSCO,CHUMBIVILCAS,666.9951793115325,762.9317601515927,14.383399433124122,76.0
0606,CAJAMARCA,CUTERVO,628.051659842996,719.0714996188943,14.492412900978891,121.0
1104,ICA,PALPA,1260.7033765651888,1447.2041974582794,14.79339425592845,34.0
0401,AREQUIPA,AREQUIPA,1517.9995511128675,1749.7070776638343,15.264004945264876,1017.0
0903,HUANCAVELICA,ANGARAES,649.3537461509304,749.7746405930836,15.464743991607332,110.0
0201,ANCASH,HUARAZ,1241.014188080128,1433.0110325544892,15.470962888134586,226.0
0804,CUSCO,CALCA,708.234706787468,821.0052579979372,15.922765451864551,66.0
