pk,hh,trust_share,edad,mujer,educ_anios,sis,ocupado,ipcr_0,factor07,pobre,juntos,pension65,transfer
0153230861101,01532308611,0.047619047619047616,77.0,1.0,3.0,1.0,1.0,470.92251101974824,223.21524047851562,0.0,0.0,1.0,1.0
0153230951101,01532309511,0.047619047619047616,50.0,0.0,3.0,1.0,1.0,868.6058632156127,223.21524047851562,0.0,1.0,0.0,1.0
0153270171101,01532701711,0.14285714285714285,66.0,0.0,6.0,1.0,0.0,611.008994790607,223.21524047851562,0.0,0.0,0.0,1.0
0153270181101,01532701811,0.09523809523809523,59.0,0.0,3.0,1.0,1.0,824.0640510195567,223.21524047851562,0.0,0.0,0.0,1.0
0153270191101,01532701911,0.14285714285714285,52.0,0.0,6.0,1.0,1.0,636.7065161455942,223.21524047851562,0.0,1.0,0.0,1.0
0153270721101,01532707211,0.5714285714285714,52.0,0.0,9.0,1.0,1.0,1162.7498038012734,223.21524047851562,0.0,0.0,0.0,1.0
0153270741101,01532707411,0.047619047619047616,44.0,0.0,6.0,1.0,1.0,621.3612568966116,223.21524047851562,0.0,1.0,0.0,1.0
0153420101101,01534201011,0.047619047619047616,76.0,0.0,3.0,1.0,1.0,585.328109246279,223.21524047851562,0.0,0.0,1.0,1.0
0153420861101,01534208611,0.0,86.0,1.0,0.0,1.0,1.0,840.440302311577,223.21524047851562,0.0,0.0,1.0,1.0
0153420871101,01534208711,0.047619047619047616,57.0,1.0,3.0,1.0,1.0,1283.7212847674841,223.21524047851562,0.0,0.0,1.0,1.0
0153420881101,01534208811,0.047619047619047616,63.0,0.0,3.0,1.0,1.0,520.1309139152877,223.21524047851562,0.0,0.0,0.0,1.0
0153420891101,01534208911,0.0,34.0,1.0,3.0,1.0,1.0,147.05253362537127,223.21524047851562,1.0,1.0,0.0,1.0
0153420901101,01534209011,0.047619047619047616,64.0,1.0,0.0,1.0,1.0,793.5764252440313,223.21524047851562,0.0,0.0,0.0,1.0
0153421021101,01534210211,0.047619047619047616,82.0,1.0,0.0,1.0,1.0,1022.5794408637688,223.21524047851562,0.0,0.0,1.0,1.0
