ym,desempleo,desempleo_h,desempleo_m,desempleo_joven,desempleo_adulto,desempleo_mayor,ingreso,fuente,desempleo_total
202106,10.32,8.29,12.75,21.57,8.47,6.65,1567.0,micro_EPE,10.32
202107,9.39,7.3,11.92,19.34,7.48,6.63,1589.0,micro_EPE,9.39
202108,9.54,7.79,11.66,18.54,8.01,6.78,1601.0,micro_EPE,9.54
202109,9.97,8.26,12.0,19.92,8.42,6.92,1608.0,micro_EPE,9.97
202110,9.6,8.14,11.28,19.02,8.18,6.72,1600.0,micro_EPE,9.6
202111,9.09,7.55,10.86,17.24,7.95,6.36,1588.0,micro_EPE,9.09
202112,7.83,6.64,9.22,14.7,6.74,5.58,1615.0,micro_EPE,7.83
202201,8.62,6.79,10.79,15.48,7.88,5.68,1639.0,micro_EPE,8.62
202202,8.9,6.73,11.49,16.4,8.34,5.35,1650.0,micro_EPE,8.9
202203,9.41,6.79,12.49,16.88,9.06,5.59,1647.0,micro_EPE,9.41
202204,8.26,6.25,10.59,15.63,7.47,5.42,1633.0,micro_EPE,8.26
202205,7.21,5.58,9.1,14.32,6.03,5.14,1668.0,micro_EPE,7.21
202206,6.78,5.45,8.31,14.04,5.21,5.35,1667.0,micro_EPE,6.78
202207,6.83,5.49,8.39,14.28,5.39,5.14,1683.0,micro_EPE,6.83
202208,7.32,6.0,8.86,14.04,5.93,6.02,1700.0,micro_EPE,7.32
202209,7.67,6.09,9.53,14.99,6.25,6.27,1745.0,micro_EPE,7.67
202210,5.82,5.82,8.76,14.88,5.59,5.93,1770.15,BCRP_oficial,7.17
202211,5.76,5.76,9.79,15.9,5.73,6.67,1775.96,BCRP_oficial,7.62
202212,5.72,5.72,8.73,16.39,5.29,5.62,1799.58,BCRP_oficial,7.11
202301,6.63,6.63,9.57,17.74,5.83,6.4,1803.33,BCRP_oficial,8.01
202302,6.29,6.29,8.5,16.21,5.71,5.31,1833.17,BCRP_oficial,7.33
202303,6.41,6.41,8.7,15.66,5.88,5.62,1840.88,BCRP_oficial,7.48
202304,6.05,6.05,8.24,14.32,5.87,5.35,1872.88,BCRP_oficial,7.07
202305,6.03,6.03,7.65,14.53,5.62,4.93,1904.95,BCRP_oficial,6.78
202306,6.04,6.04,7.14,13.85,5.6,4.78,1924.66,BCRP_oficial,6.55
202307,5.7,5.7,6.9,13.2,5.3,4.7,1936.65,BCRP_oficial,6.26
202308,6.04,6.04,7.32,13.21,5.73,5.16,1950.61,BCRP_oficial,6.64
202309,5.77,5.77,7.85,13.34,5.85,5.27,1943.47,BCRP_oficial,6.73
202310,5.77,5.77,7.45,13.52,5.82,4.81,1954.68,BCRP_oficial,6.55
202311,5.11,5.11,8.19,12.99,5.32,5.71,1916.22,BCRP_oficial,6.56
202312,5.17,5.17,7.76,13.98,4.94,5.41,1928.08,BCRP_oficial,6.39
202401,5.94,5.94,8.59,15.9,5.55,5.72,1926.09,BCRP_oficial,7.2
202402,6.5,6.5,8.21,16.1,5.85,5.47,1982.31,BCRP_oficial,7.29
202403,6.83,6.83,8.71,15.48,6.21,6.24,1979.23,BCRP_oficial,7.71
202404,6.74,6.74,8.77,14.41,6.27,6.71,2006.41,BCRP_oficial,7.69
202405,6.36,6.36,8.18,14.73,6.06,5.76,2006.82,BCRP_oficial,7.22
202406,6.04,6.04,7.3,14.3,5.61,5.03,1990.98,BCRP_oficial,6.64
202407,5.22,5.22,6.79,13.3,4.72,4.87,1998.08,BCRP_oficial,5.96
202408,5.47,5.47,6.75,13.17,4.66,5.25,2006.91,BCRP_oficial,6.07
202409,4.98,4.98,7.06,14.55,4.46,4.77,2054.89,BCRP_oficial,5.93
202410,5.18,5.18,6.42,14.42,4.38,4.44,2075.19,BCRP_oficial,5.75
202411,4.79,4.79,6.68,13.97,4.6,4.12,2066.93,BCRP_oficial,5.67
202412,4.99,4.99,6.15,12.84,4.76,4.03,2113.51,BCRP_oficial,5.53
202501,5.54,5.54,6.87,16.14,5.01,4.09,2126.15,BCRP_oficial,6.15
202502,5.39,5.39,7.36,17.09,5.0,4.08,2134.33,BCRP_oficial,6.3
202503,5.29,5.29,8.03,16.45,5.36,4.52,2114.03,BCRP_oficial,6.56
202504,4.52,4.52,7.53,13.57,5.22,4.18,2102.38,BCRP_oficial,5.91
202505,4.83,4.83,6.48,12.61,5.11,3.95,2155.04,BCRP_oficial,5.59
202506,5.6,5.6,7.29,16.93,4.72,5.0,2172.05,BCRP_oficial,6.37
202507,5.52,5.52,6.69,16.36,4.35,4.86,2211.58,BCRP_oficial,6.06
202508,5.37,5.37,6.72,15.6,4.18,5.13,2249.56,BCRP_oficial,5.99
202509,4.24,4.24,7.51,13.94,4.64,4.54,2293.91,BCRP_oficial,5.75
202510,4.5,4.5,7.6,16.22,4.66,4.32,2311.49,BCRP_oficial,5.94
202511,4.61,4.61,7.42,16.38,4.61,4.36,2242.56,BCRP_oficial,5.93
202512,5.02,5.02,4.95,13.94,3.95,3.54,2291.02,BCRP_oficial,4.99
202601,6.45,6.45,6.2,14.22,5.89,4.42,2288.14,BCRP_oficial,6.33
202602,6.44,6.44,6.28,13.49,5.79,4.72,2287.0,BCRP_oficial,6.37
202603,5.93,5.93,7.92,13.66,6.26,5.29,2239.79,BCRP_oficial,6.84
202604,4.14,4.14,6.67,11.29,4.21,4.75,2256.6,BCRP_oficial,5.32
202605,3.56,3.56,6.59,11.01,3.87,4.49,2317.4,BCRP_oficial,4.98
