ubigeo,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
120430,1386.0698839213624,22725.753356933594,6.0,1074.7755640528776,7804.636962890625,5.0,-22.458775237782014,-311.29431986848476
060905,634.4063239635674,6523.907958984375,8.0,492.3052644031,4655.975570678711,8.0,-22.39906101072031,-142.10105956046738
180210,1424.8123825384705,1346.7379760742188,8.0,1107.1174613449132,4295.64045715332,30.0,-22.29731612996979,-317.6949211935573
120128,1167.0523834425924,11583.928527832031,6.0,907.1081321863082,13472.454895019531,6.0,-22.273571858830866,-259.94425125628413
200601,1618.1427522531933,124209.58332824707,112.0,1258.3344749272833,163085.69696998596,133.0,-22.23587979644519,-359.80827732591
060701,1153.97261907566,107920.82934570312,94.0,899.4643956938673,120623.88526153564,96.0,-22.054962065361273,-254.50822338179273
220605,801.2631433960341,9934.14468383789,16.0,625.9373828995111,4366.387145996094,8.0,-21.88117124087737,-175.325760496523
040303,1254.3841330483472,7678.926452636719,12.0,980.7959821560278,8141.542785644531,10.0,-21.81055576870683,-273.5881508923194
220601,1598.6623520894361,11216.680145263672,21.0,1250.5420503958246,25147.825622558594,39.0,-21.775724013180252,-348.1203016936115
120105,558.1266191156291,5112.271560668945,12.0,438.2063607517217,4886.237487792969,6.0,-21.486210163909604,-119.92025836390735
160301,602.9468531581306,58191.588134765625,45.0,473.90704964369803,60587.109939575195,53.0,-21.40152201450999,-129.03980351443255
020511,786.5820758335626,6059.307067871094,8.0,618.5687682417014,2917.8895874023438,7.0,-21.35992069407543,-168.01330759186123
040520,1479.2095159754522,56692.61096954346,96.0,1164.7826977222119,61267.55500793457,104.0,-21.256408565347428,-314.4268182532403
210707,1323.596395426881,7727.588562011719,8.0,1047.640985187782,6741.2757568359375,7.0,-20.848909168425088,-275.9554102390989
050701,1083.7256526433882,18913.815811157227,30.0,858.4686832585368,19253.75079345703,27.0,-20.78542376803687,-225.25696938485146
