ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
201611,5.84,5.44,6.3,14.29,3.97,2.46,68.04,76.38,60.25,1732.0,EPE legacy
201612,6.24,5.75,6.83,15.96,3.99,2.49,68.95,77.33,61.13,1715.0,EPE legacy
201701,7.2,6.54,7.98,17.77,4.52,3.05,69.02,77.95,60.69,1680.0,EPE legacy
201702,7.74,7.06,8.56,18.48,4.96,3.53,68.96,78.31,60.24,1652.0,EPE legacy
201703,7.73,7.06,8.55,18.58,4.95,3.43,68.59,77.82,60.0,1674.0,EPE legacy
201704,6.82,6.15,7.63,16.16,4.65,2.93,68.5,77.46,60.16,1642.0,EPE legacy
201705,6.6,5.97,7.36,16.06,4.52,2.77,67.96,76.96,59.59,1634.0,EPE legacy
201706,6.93,6.19,7.82,15.7,5.07,3.17,68.16,77.31,59.65,1636.0,EPE legacy
201707,7.06,6.12,8.18,15.99,5.2,3.22,68.35,77.21,60.12,1673.0,EPE legacy
201708,6.68,5.9,7.57,15.22,4.85,2.91,69.05,77.15,61.52,1681.0,EPE legacy
201709,6.43,5.48,7.52,14.59,4.75,2.92,68.7,76.38,61.56,1653.0,EPE legacy
201710,6.2,5.74,6.74,14.26,4.55,2.92,68.14,76.18,60.68,1660.0,EPE legacy
201711,6.56,6.04,7.17,14.9,5.07,2.95,67.99,76.09,60.48,1696.0,EPE legacy
201712,6.45,5.95,7.04,15.02,4.78,3.01,68.6,76.7,61.09,1708.0,EPE legacy
201801,7.3,6.76,7.93,18.5,4.65,3.25,68.44,76.73,60.77,1704.0,EPE legacy
201802,8.03,7.03,9.2,19.57,5.13,3.71,68.58,77.25,60.55,1675.0,EPE legacy
201803,8.06,7.13,9.16,19.39,5.5,3.41,68.1,76.66,60.19,1687.0,EPE legacy
201804,7.33,5.93,8.95,15.64,6.02,3.13,68.24,76.42,60.67,1680.0,EPE legacy
201805,6.64,5.44,8.02,13.87,5.73,2.88,67.69,75.75,60.24,1650.0,EPE legacy
201806,6.22,4.88,7.82,12.97,5.34,2.98,67.37,76.16,59.24,1652.0,EPE legacy
201807,6.17,4.88,7.69,13.5,5.02,2.93,67.72,76.38,59.72,1671.0,EPE legacy
201808,6.08,4.61,7.82,14.2,4.65,2.79,67.95,76.48,60.08,1721.0,EPE legacy
201809,6.18,5.09,7.46,14.54,4.63,3.03,67.87,76.24,60.16,1701.0,EPE legacy
201810,6.43,5.73,7.25,16.33,4.35,3.33,67.62,76.36,59.55,1705.0,EPE legacy
201811,6.25,6.01,6.52,14.79,4.41,3.63,68.29,76.72,60.53,1686.0,EPE legacy
201812,6.13,5.55,6.79,15.07,4.29,3.23,68.52,76.65,61.04,1702.0,EPE legacy
201901,6.48,5.81,7.25,14.78,4.98,3.24,68.04,76.32,60.42,1674.0,EPE legacy
201902,7.56,6.51,8.8,17.92,5.43,3.88,67.66,76.54,59.5,1692.0,EPE legacy
201903,8.16,6.76,9.81,18.97,6.03,4.07,67.66,76.49,59.55,1716.0,EPE legacy
201904,7.33,5.62,9.35,18.36,5.21,3.6,67.56,76.24,59.59,1736.0,EPE legacy
201905,6.71,5.35,8.28,17.22,5.14,2.82,66.98,75.08,59.54,1723.0,EPE legacy
201906,6.31,5.29,7.49,15.24,5.2,2.77,67.02,75.42,59.32,1702.0,EPE legacy
201907,6.0,5.48,6.61,13.13,5.31,2.88,66.88,74.74,59.67,1699.0,EPE legacy
201908,5.83,4.99,6.8,12.89,5.1,2.78,67.0,75.16,59.52,1717.0,EPE legacy
201909,5.75,4.79,6.85,14.21,4.6,2.56,66.81,74.73,59.55,1743.0,EPE legacy
201910,6.42,5.16,7.88,16.87,5.02,2.49,67.27,75.58,59.65,1761.0,EPE legacy
201911,6.33,5.17,7.66,16.34,4.97,2.59,67.54,75.67,60.09,1767.0,EPE legacy
201912,6.1,5.02,7.33,15.8,4.62,2.73,68.02,75.82,60.88,1782.0,EPE legacy
202001,6.34,4.92,7.97,15.96,4.66,2.92,68.41,76.48,61.02,1798.0,EPE legacy
202002,7.07,5.4,9.01,17.63,5.14,3.35,68.34,77.0,60.42,1803.0,EPE legacy
202003,7.77,6.57,9.2,17.76,6.25,3.63,66.39,75.75,57.84,1731.0,EPE legacy
202004,8.98,8.5,9.57,18.83,8.19,4.27,50.92,58.49,44.01,1671.0,EPE legacy
202005,13.12,13.72,12.39,24.35,13.09,6.54,37.17,42.99,31.85,1584.0,EPE legacy
202006,16.28,16.08,16.53,33.38,16.28,7.58,33.22,39.06,27.88,1532.0,EPE legacy
202007,16.37,16.26,16.52,32.6,15.23,9.36,44.37,52.1,37.31,1505.0,EPE legacy
202008,15.57,14.96,16.34,31.74,14.2,9.11,54.0,63.23,45.58,1550.0,EPE legacy
202009,16.53,16.0,17.22,32.61,14.47,11.3,56.66,67.19,47.06,1517.0,EPE legacy
202010,16.43,15.53,17.57,31.48,14.81,10.73,58.39,68.38,49.28,1498.0,EPE legacy
202011,15.13,13.86,16.71,27.54,13.22,10.74,61.43,71.43,52.31,1509.0,EPE legacy
202012,13.84,12.27,15.74,25.55,12.06,9.25,63.56,72.93,55.01,1557.0,EPE legacy
202101,13.01,11.13,15.29,24.51,11.1,8.76,64.08,73.64,55.37,1572.0,EPE legacy
202102,14.49,12.61,16.8,27.8,12.79,8.82,62.13,71.92,53.22,1534.0,EPE legacy
202103,15.28,13.15,17.94,29.0,13.74,9.22,60.9,70.95,51.74,1549.0,EPE legacy
202104,15.11,12.89,17.85,29.26,13.74,8.57,60.6,70.21,51.86,1554.0,EPE legacy
202105,12.03,9.99,14.49,24.97,10.24,7.18,62.67,71.9,54.28,1557.0,EPE legacy
202106,10.32,8.29,12.75,21.57,8.47,6.65,63.73,72.73,55.53,1567.0,EPE legacy
202107,9.39,7.3,11.92,19.34,7.48,6.63,64.26,73.88,55.5,1589.0,EPE legacy
202108,9.54,7.79,11.66,18.54,8.01,6.78,64.02,73.72,55.2,1601.0,EPE legacy
202109,9.97,8.26,12.0,19.92,8.42,6.92,64.39,73.33,56.25,1608.0,EPE legacy
202110,9.6,8.14,11.28,19.02,8.18,6.72,64.86,72.91,57.55,1600.0,EPE legacy
202111,9.09,7.55,10.86,17.24,7.95,6.36,65.78,73.71,58.58,1588.0,EPE legacy
