ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
201206,5.02,7.82,12.23,4.84,3.73,1300.59,2566.8,1896.9,4463.7
201207,4.96,7.72,12.38,4.63,3.58,1313.72,2628.2,1884.6,4512.8
201208,5.39,8.21,13.08,5.18,3.71,1346.6,2629.8,1845.7,4475.5
201209,5.23,8.26,13.01,5.24,3.35,1333.24,2611.59,1896.7,4508.29
201210,4.92,7.81,12.58,4.74,3.31,1330.22,2631.0,1866.0,4497.0
201211,4.72,7.35,12.67,4.12,3.18,1344.08,2713.8,1840.8,4554.6
201212,4.37,7.18,11.99,4.04,2.76,1343.78,2778.7,1787.3,4566.0
201301,4.85,7.68,13.55,4.16,2.9,1361.22,2725.8,1799.2,4525.0
201302,4.86,8.31,13.86,4.41,2.95,1356.56,2725.9,1807.5,4533.4
201303,5.02,8.05,14.01,4.28,3.05,1386.51,2742.5,1809.5,4552.0
201304,4.52,6.93,11.92,4.0,2.83,1386.14,2836.0,1779.8,4615.8
201305,4.39,7.21,11.85,4.39,2.43,1383.67,2834.9,1755.0,4589.9
201306,4.33,7.51,12.32,4.48,2.44,1376.12,2825.0,1755.8,4580.8
201307,4.79,7.53,13.2,4.64,2.23,1380.09,2864.7,1743.2,4607.9
201308,5.01,6.23,12.2,4.08,2.69,1408.25,2856.9,1750.3,4607.2
201309,5.57,6.39,13.26,4.31,2.76,1431.45,2864.19,1741.1,4605.29
201310,4.97,6.73,12.9,3.95,3.1,1436.1,2867.4,1749.3,4616.7
201311,4.66,7.08,13.64,3.77,2.86,1446.67,2928.1,1711.1,4639.2
201312,4.71,6.84,14.05,3.62,2.36,1435.04,2951.4,1705.7,4657.1
201401,5.45,7.46,15.09,4.13,3.02,1466.29,2879.9,1715.7,4595.6
201402,5.93,8.22,15.66,4.77,3.14,1452.37,2897.4,1739.5,4636.9
201403,5.85,8.28,14.52,4.93,3.72,1462.66,2893.7,1752.3,4646.0
201404,5.51,7.22,13.59,4.58,2.97,1449.06,2901.5,1757.7,4659.2
