anio,origen,destino,personas,n
2019,Cajamarca,Amazonas,1743,20
2019,Junin,Ucayali,1735,13
2019,Lima,Tacna,1727,31
2019,Lambayeque,Cajamarca,1691,3
2019,Cajamarca,San Martin,1675,12
2019,Tacna,Puno,1672,3
2019,Moquegua,Puno,1589,6
2019,La Libertad,Loreto,1571,10
2019,San Martin,Ucayali,1547,12
2019,San Martin,Cajamarca,1523,4
2019,Lima,Huancavelica,1467,9
2019,Cusco,La Libertad,1466,3
2019,Piura,Tumbes,1413,12
2019,Madre de Dios,Lima,1398,3
2019,Ancash,Huanuco,1327,7
2019,Lima,Tumbes,1326,16
2019,Moquegua,Tacna,1320,32
2019,Ica,Apurimac,1318,8
2019,La Libertad,Amazonas,1279,14
2019,Pasco,Huanuco,1261,6
2019,Arequipa,Apurimac,1257,8
2019,Puno,Cusco,1256,4
2019,Lima,Madre de Dios,1212,23
2019,Pasco,La Libertad,1204,3
2019,Cusco,Junin,1195,3
2019,Ayacucho,Apurimac,1192,4
2019,Ayacucho,Ica,1173,5
2019,Arequipa,Moquegua,1171,18
2019,La Libertad,Ancash,1153,7
2019,Piura,San Martin,1055,5
2019,Junin,Huancavelica,1033,10
2019,La Libertad,Lambayeque,1029,4
2019,Arequipa,Piura,1005,3
2019,Arequipa,Madre de Dios,990,21
2019,Huanuco,Pasco,981,13
2019,Tacna,Arequipa,956,4
2019,Loreto,Cajamarca,952,1
2019,Huancavelica,Ica,936,4
2019,Tacna,Moquegua,902,13
2019,Piura,La Libertad,887,2
2019,Cajamarca,Piura,855,4
2019,Junin,Arequipa,849,3
2019,Cajamarca,Loreto,848,4
2019,Lambayeque,La Libertad,840,2
2019,Ayacucho,Huancavelica,832,6
2019,Amazonas,La Libertad,823,2
2019,Junin,Ayacucho,795,4
2019,La Libertad,Cusco,761,1
2019,Huancavelica,Pasco,750,4
2019,Lima,Moquegua,732,13
2019,Arequipa,Ica,731,4
2019,Junin,Ancash,723,2
2019,San Martin,Huanuco,711,3
2019,San Martin,Piura,688,2
2019,Pasco,Ica,671,3
2019,Cajamarca,Huanuco,652,3
2019,Cusco,Piura,627,2
2019,Ucayali,San Martin,627,2
2019,Ucayali,Arequipa,605,1
2019,Ayacucho,Cusco,599,2
2019,Ucayali,La Libertad,590,2
2019,Junin,Piura,582,2
2019,Ica,Huancavelica,572,4
2019,Piura,Ayacucho,570,4
2019,Amazonas,Lambayeque,567,3
2019,Ancash,La Libertad,557,3
2019,Lambayeque,Arequipa,547,1
2019,Huanuco,Madre de Dios,520,10
2019,Junin,Cusco,512,2
2019,Ancash,Piura,510,3
2019,Moquegua,Ica,509,3
2019,Loreto,Lambayeque,506,2
2019,Junin,Huanuco,478,3
2019,Madre de Dios,Ica,477,3
2019,Puno,Madre de Dios,469,8
2019,Loreto,Amazonas,467,3
2019,Puno,Moquegua,455,5
2019,Piura,Junin,452,2
2019,Ucayali,Ayacucho,450,1
2019,Apurimac,La Libertad,443,1
2019,Junin,San Martin,438,4
2019,Tumbes,Loreto,423,2
2019,Piura,Loreto,415,4
2019,Loreto,Pasco,412,2
2019,Junin,La Libertad,409,1
2019,Apurimac,Junin,407,3
2019,Junin,Ica,405,4
2019,Cusco,Tacna,401,9
2019,La Libertad,Tumbes,398,3
2019,Madre de Dios,Apurimac,398,3
2019,La Libertad,Arequipa,395,2
2019,Ayacucho,Arequipa,389,2
2019,Puno,Ucayali,386,2
2019,Arequipa,San Martin,377,2
2019,Huanuco,Junin,374,2
2019,Ayacucho,Huanuco,373,2
2019,Lambayeque,Tumbes,372,7
2019,Loreto,Huanuco,368,2
2019,Piura,Arequipa,358,4
2019,Tacna,Loreto,352,2
2019,Cusco,Lambayeque,348,1
2019,Ucayali,Pasco,344,4
2019,Huancavelica,Lambayeque,338,1
2019,Loreto,La Libertad,336,1
2019,Huanuco,Arequipa,324,2
2019,Lambayeque,Ucayali,323,3
2019,Ica,Amazonas,322,4
2019,Moquegua,Piura,316,1
2019,Ucayali,Madre de Dios,305,11
2019,San Martin,Ayacucho,291,3
2019,Tumbes,Lambayeque,291,2
2019,Pasco,Ucayali,288,3
2019,Ancash,Cajamarca,287,1
2019,Puno,Ayacucho,267,2
2019,Huancavelica,San Martin,264,2
2019,Ica,Lambayeque,260,1
2019,Madre de Dios,San Martin,258,2
2019,Piura,Ica,258,1
2019,Puno,Loreto,255,1
2019,Cajamarca,Madre de Dios,251,3
2019,Huanuco,Ancash,244,1
2019,Huancavelica,Ayacucho,242,2
2019,La Libertad,Apurimac,239,2
2019,Tacna,Ucayali,238,2
2019,Ica,Arequipa,237,2
2019,Cajamarca,Apurimac,227,2
2019,Cajamarca,Pasco,223,2
2019,Ancash,Tumbes,219,4
2019,San Martin,Madre de Dios,218,6
2019,San Martin,Moquegua,218,3
2019,Amazonas,Piura,211,1
2019,Ancash,Ica,205,1
2019,Ancash,Ayacucho,192,1
2019,Ica,Loreto,190,1
2019,Cajamarca,Ancash,184,2
2019,La Libertad,Huanuco,182,1
2019,Cajamarca,Tumbes,180,3
2019,Ancash,Pasco,179,2
2019,Apurimac,Puno,171,1
2019,Apurimac,Loreto,166,1
2019,Arequipa,Ayacucho,164,1
2019,Moquegua,Ancash,160,1
2019,Cusco,Huancavelica,159,1
