prov,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
1402,839.5138380833721,90046.046875,103.0,952.1052902692385,99374.2719116211,110.0,13.411506407436358,112.59145218586639
0216,778.3231925289513,32272.705078125,47.0,883.9779389515686,18228.956085205078,30.0,13.574662484272215,105.65474642261734
0304,1002.893691669739,41027.97265625,84.0,1140.66389715093,41811.93406677246,90.0,13.73726912688169,137.77020548119106
2102,708.8400162290426,160635.421875,115.0,807.1614328431845,126608.31326293945,96.0,13.870748598139526,98.32141661414187
0106,1053.8899620006223,30776.501953125,117.0,1201.742767010995,27805.422187805176,118.0,14.029245020011437,147.85280501037278
1505,1132.8807346664541,288315.1875,401.0,1293.5728547109595,303301.8920135498,394.0,14.18438103211428,160.69212004450537
0301,1108.3021521051205,90150.21875,216.0,1267.3947149789858,123066.02979660034,229.0,14.354620043972965,159.0925628738653
0807,666.9951793115325,85956.6328125,76.0,762.9317601515927,111440.88275146484,90.0,14.383399433124122,95.93658084006017
0606,628.051659842996,115929.0390625,123.0,719.0714996188943,122821.00971984863,121.0,14.492412900978891,91.01983977589839
1104,1260.7033765651888,14299.484375,43.0,1447.2041974582794,9819.406715393066,34.0,14.79339425592845,186.50082089309058
0401,1517.9995511128677,1105669.0,1017.0,1749.7070776638343,1182389.7034950256,1025.0,15.264004945264876,231.70752655096658
0903,649.3537461509304,44360.5078125,110.0,749.7746405930836,68248.13527441025,134.0,15.464743991607332,100.42089444215321
0201,1241.014188080128,174699.59375,257.0,1433.0110325544892,166510.57402801514,226.0,15.470962888134586,191.9968444743613
0804,708.234706787468,89371.8203125,81.0,821.0052579979372,64413.47235107422,66.0,15.922765451864551,112.7705512104692
1502,1022.7262454709977,140889.53125,172.0,1186.8048242498485,138397.59729003906,181.0,16.043254928232287,164.07857877885078
1203,995.135455744041,157781.234375,188.0,1156.733874535135,162163.17643737793,190.0,16.238836417527747,161.5984187910941
2104,729.8571211196644,113198.9375,86.0,854.9626932800827,97337.78063964844,86.0,17.1411045450232,125.10557216041832
2110,846.8425927303064,93792.546875,55.0,996.9841160463686,115163.63195800781,43.0,17.729566817369303,150.14152331606226
1002,901.3053026675834,116620.6796875,94.0,1063.7623167609063,147174.6759338379,104.0,18.024637557606795,162.45701409332287
1006,908.2127931607946,75685.921875,201.0,1073.4716352046328,69244.0269677639,197.0,18.196048689063105,165.25884204383817
0205,938.5662906362206,14097.400390625,24.0,1111.8110933825237,18986.516357421875,26.0,18.4584514141102,173.2448027463031
0812,769.6054606052884,117261.890625,94.0,912.0623769218522,121156.96224975586,84.0,18.51038273617791,142.45691631656382
1703,801.1706042009457,15354.0439453125,76.0,950.0077114160873,13826.322969436646,60.0,18.5774548435393,148.8371072151416
0210,955.3241138994383,51248.375,68.0,1132.9179826105699,53889.19645690918,66.0,18.589907459388797,177.59386871113156
1201,1300.6402176228955,521104.5,579.0,1547.7619359063233,580658.4466400146,569.0,19.000005915169815,247.12171828342775
0506,895.2930740904268,45265.15625,99.0,1070.9179402633097,69813.32554626465,114.0,19.61646652425062,175.6248661728829
1207,839.5145993171041,101283.6015625,124.0,1013.2763183777628,120576.5350189209,125.0,20.69787937005547,173.76171906065872
0803,781.6156176301439,62758.19140625,65.0,953.3455550091147,80231.10607910156,65.0,21.971149693714587,171.72993737897082
